period,series_reference,region_name,filled jobs,filled jobs revised,filled jobs diff,filled jobs % diff
2020.09,BDCQ.SED1RA,Northland,65520,65904,,
2020.09,BDCQ.SED1RB,Auckland,708372,714506,,
2020.09,BDCQ.SED1RC,Waikato,198776,200265,,
2020.09,BDCQ.SED1RD,Bay of Plenty,127323,128540,,
2020.09,BDCQ.SED1RE,Gisborne,20417,20632,,
2020.09,BDCQ.SED1RF,Hawke's Bay,71967,72600,,
2020.09,BDCQ.SED1RG,Taranaki,49239,49599,,
2020.09,BDCQ.SED1RH,Manawatu-Whanganui,101946,102617,,
2020.09,BDCQ.SED1RI,Wellington,237102,239076,,
2020.09,BDCQ.SED1RJ,Tasman,22298,22482,,
2020.09,BDCQ.SED1RK,Nelson,19009,19190,,
2020.09,BDCQ.SED1RL,Marlborough,24745,24844,,
2020.09,BDCQ.SED1RM,West Coast,13626,13646,,
2020.09,BDCQ.SED1RN,Canterbury,275569,278290,,
2020.09,BDCQ.SED1RO,Otago,103405,104211,,
2020.09,BDCQ.SED1RP,Southland,43598,44007,,
2020.12,BDCQ.SED1RA,Northland,67629,68137,,
2020.12,BDCQ.SED1RB,Auckland,713636,721492,,
2020.12,BDCQ.SED1RC,Waikato,203030,204389,,
